video_url,brazilian_state
https://www.youtube.com/shorts/oeXyg7BTpEY?feature=share,Alagoas
https://www.youtube.com/shorts/-L6hLyDM2q4?feature=share,Alagoas
https://www.youtube.com/shorts/A849tfiWJ-c?feature=share,Alagoas
https://www.youtube.com/shorts/CFqeMCesgpo?feature=share,Alagoas
https://www.youtube.com/shorts/8SXyzZ0elF0?feature=share,Alagoas
https://www.youtube.com/shorts/lDPYNlDtp9g?feature=share,Alagoas
https://www.youtube.com/shorts/DcFUgylDCWo?feature=share,Alagoas
https://www.youtube.com/shorts/Tpah3NF5I2g?feature=share,Alagoas
https://www.youtube.com/shorts/MePUKtsSsrQ?feature=share,Alagoas
https://www.youtube.com/shorts/MGkFOaK_vYU?feature=share,Alagoas
https://www.youtube.com/shorts/JgCI2C3txB0?feature=share,Alagoas
https://www.youtube.com/shorts/JdyQ3MXvURI?feature=share,Alagoas
https://www.youtube.com/shorts/7pvful1UHqE?feature=share,Alagoas
https://www.youtube.com/shorts/YmCSVAcrXsg?feature=share,Alagoas
https://www.youtube.com/shorts/GFU7Uer0Z8A?feature=share,Alagoas
https://www.youtube.com/shorts/yOuWoAedOik?feature=share,Alagoas
https://www.youtube.com/shorts/k4puXZL1Mr4?feature=share,Alagoas
https://www.youtube.com/shorts/Fl0a12qpnRY?feature=share,Alagoas
https://www.youtube.com/shorts/jxDomEMTms4?feature=share,Alagoas
https://www.youtube.com/shorts/m4IYtedXvms?feature=share,Bahia
https://www.youtube.com/shorts/loqv-13nlqM?feature=share,Bahia
https://www.youtube.com/shorts/5Hm3KqzZ3r8?feature=share,Bahia
https://www.youtube.com/shorts/uEejB2pvBAw?feature=share,Bahia
https://www.youtube.com/shorts/4H1UKI5_9Eo?feature=share,Bahia
https://www.youtube.com/shorts/7YSii7xDeUs?feature=share,Bahia
https://www.youtube.com/shorts/5zetwKcgxFY?feature=share,Bahia
https://www.youtube.com/shorts/Gx3oVgegelg?feature=share,Bahia
https://www.youtube.com/shorts/k2J4IBDY8gA?feature=share,Bahia
https://www.youtube.com/shorts/Tb3F37x7b7M?feature=share,Bahia
https://www.youtube.com/shorts/o-dOTnd1U4c?feature=share,Bahia
https://youtu.be/UURYO4MOZ78,Bahia
https://www.youtube.com/shorts/uilkIc8kIBU?feature=share,Bahia
https://www.youtube.com/shorts/ctghhMCNV7w?feature=share,Bahia
https://www.youtube.com/shorts/X5l0A7uBn3A?feature=share,Bahia
https://www.youtube.com/shorts/ib1XVd5eRKE?feature=share,Bahia
https://www.youtube.com/shorts/K2wSblMkBgU?feature=share,Bahia
https://www.youtube.com/shorts/T7SJR_lCU8k?feature=share,Bahia
https://www.youtube.com/shorts/LJVJg9pmy4E?feature=share,Bahia
https://www.youtube.com/shorts/esBChnkmTJY?feature=share,Bahia
https://www.youtube.com/shorts/UlCYk-YsIyE?feature=share,Bahia
https://www.youtube.com/shorts/famjYtgEpCA?feature=share,Bahia
https://www.youtube.com/shorts/9md1lrERUS0?feature=share,Bahia
https://www.youtube.com/shorts/loqv-13nlqM?feature=share,Bahia
https://www.youtube.com/shorts/X095nELCS54?feature=share,Bahia
https://www.youtube.com/shorts/ZoJhQn6Qc-c?feature=share,Bahia
https://www.youtube.com/shorts/dwM4wtYQ-XA?feature=share,Bahia
https://www.youtube.com/shorts/9EX48P2slik?feature=share,Bahia
https://www.youtube.com/shorts/1iYLvPAo70g?feature=share,Bahia
https://www.youtube.com/shorts/mPb8iBrZKHc?feature=share,Bahia
https://www.youtube.com/shorts/bWB16SCIeWg?feature=share,Bahia
https://www.youtube.com/shorts/cldDxvX4FPM?feature=share,Bahia
https://www.youtube.com/shorts/0NVfXPzVzho?feature=share,Bahia
https://www.youtube.com/shorts/Hlh7hlbPs38?feature=share,Bahia
